,Open_time,Open,High,Low,Close,Volume,Close_time,Quote asset volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Ignore
194,1547989920000,0.008746,0.008756,0.008746,0.008747,47.24,1547989979999,0.41344521,8,34.6,0.30287789,0
195,1547989980000,0.008754,0.00877,0.008745,0.008745,157.81,1547990039999,1.38263126,40,124.51,1.09119699,0
196,1547990040000,0.008748,0.008764,0.008744,0.008747,58.7,1547990099999,0.51356249,15,34.6,0.30274814,0
197,1547990100000,0.008745,0.008755,0.008734,0.008737,85.1,1547990159999,0.74424339,26,37.08,0.32439826,0
198,1547990160000,0.008737,0.008748,0.008731,0.008739,79.13,1547990219999,0.69137497,18,31.81,0.27802952,0
199,1547990220000,0.008738,0.008744,0.008731,0.008734,105.15,1547990279999,0.91905193,17,86.53,0.75640195,0
200,1547990280000,0.008734,0.008741,0.008726,0.008737,95.39,1547990339999,0.83335164,30,56.76,0.49593339,0
201,1547990340000,0.008736,0.00874,0.008734,0.008735,55.1,1547990399999,0.48137683,18,35.23,0.30781157,0
202,1547990400000,0.008735,0.008738,0.008735,0.008735,53.72,1547990459999,0.46927368,10,26.48,0.23133228,0
203,1547990460000,0.008734,0.008736,0.008726,0.008726,45.37,1547990519999,0.39607152,10,1.56,0.01362432,0
204,1547990520000,0.008727,0.008728,0.00872,0.008723,69.67,1547990579999,0.60783909,10,40.18,0.35063176,0
205,1547990580000,0.008723,0.008725,0.008722,0.008723,56.64,1547990639999,0.49411669,12,25.15,0.21942719,0
206,1547990640000,0.008725,0.008727,0.008715,0.008722,118.06,1547990699999,1.02956798,19,35.6,0.31059338,0
207,1547990700000,0.00872,0.008725,0.008716,0.00872,105.9,1547990759999,0.92334338,20,21.81,0.19020726,0
208,1547990760000,0.008721,0.008725,0.008716,0.008717,142.93,1547990819999,1.24678507,31,72.38,0.63144709,0
209,1547990820000,0.008718,0.008722,0.008717,0.008722,141.29,1547990879999,1.23199122,17,91.95,0.80185146,0
210,1547990880000,0.008722,0.008722,0.008717,0.008718,95.87,1547990939999,0.83589126,16,37.51,0.32710524,0
211,1547990940000,0.008717,0.00872,0.008717,0.008719,19.52,1547990999999,0.1701939,5,0.22,0.00191818,0
212,1547991000000,0.008718,0.008718,0.00871,0.008716,263.86,1547991059999,2.29926862,29,126.15,1.09899012,0
213,1547991060000,0.008716,0.00872,0.008707,0.008716,181.9,1547991119999,1.58485878,22,80.27,0.69961818,0
214,1547991120000,0.008716,0.008716,0.008716,0.008716,21.99,1547991179999,0.19166484,3,21.99,0.19166484,0
215,1547991180000,0.008716,0.008717,0.008709,0.008715,138.02,1547991239999,1.20274572,29,104.63,0.91179485,0
216,1547991240000,0.008716,0.008722,0.008716,0.00872,64.55,1547991299999,0.56280516,23,56.81,0.49532748,0
217,1547991300000,0.008719,0.008723,0.00871,0.008723,251.95,1547991359999,2.1969478,52,215.69,1.88083545,0
218,1547991360000,0.008721,0.008721,0.008714,0.008715,91.6,1547991419999,0.79845567,25,86.85,0.75704146,0
219,1547991420000,0.008716,0.008724,0.008709,0.008711,107.61,1547991479999,0.937988,32,86.12,0.75079216,0
220,1547991480000,0.008717,0.008722,0.00871,0.008715,95.53,1547991539999,0.83272938,23,71.4,0.62242621,0
221,1547991540000,0.008715,0.008717,0.008715,0.008716,117.59,1547991599999,1.02490798,18,79.48,0.69271122,0
222,1547991600000,0.008716,0.008725,0.008715,0.008722,156.2,1547991659999,1.36168081,39,141.72,1.23539326,0
223,1547991660000,0.008721,0.008721,0.008715,0.008716,31.53,1547991719999,0.27490814,14,31.14,0.27150929,0
224,1547991720000,0.008716,0.008716,0.008716,0.008716,20.85,1547991779999,0.1817286,2,20.85,0.1817286,0
225,1547991780000,0.008716,0.008716,0.008715,0.008716,4.22,1547991839999,0.03677954,8,2.24,0.01952384,0
226,1547991840000,0.008715,0.008715,0.008709,0.008711,96.35,1547991899999,0.83960323,10,0.16,0.00139376,0
227,1547991900000,0.00871,0.008713,0.0087,0.008703,115.38,1547991959999,1.0046672,26,50.95,0.44350371,0
228,1547991960000,0.008706,0.008707,0.0087,0.008703,183.6,1547992019999,1.59770045,29,130.14,1.13252652,0
229,1547992020000,0.008703,0.008703,0.008694,0.008697,1656.29,1547992079999,14.40952961,49,123.59,1.07502797,0
230,1547992080000,0.008698,0.008698,0.00869,0.008698,194.29,1547992139999,1.68906831,51,184.32,1.60240374,0
231,1547992140000,0.008695,0.008705,0.008693,0.008695,322.9,1547992199999,2.80793717,44,268.72,2.33678998,0
232,1547992200000,0.0087,0.008705,0.008697,0.008699,161.24,1547992259999,1.4026644,17,121.54,1.05730764,0
233,1547992260000,0.008697,0.008702,0.008697,0.008701,298.7,1547992319999,2.59828027,24,278.3,2.42080333,0
234,1547992320000,0.008697,0.008716,0.008695,0.008707,337.89,1547992379999,2.94083388,62,178.57,1.55413064,0
